"TSN"	"Common Name"	"LeafType"	"LeafArrangement"	"LeafAttachment"	"LeafEdge"	"LeafVeins"	"FlowerType"	"FlowerArrangement"	"FlowerAttachment"	"FlowerSymmetry"	"FlowerPetalNumber"	"FlowerPetalColor"	"FruitType"	"FruitArrangement"	"FruitAttachment"	"FruitColor"	"BarkAttachment"	"BarkTexture"	"BarkColor"	"ThornType"	"ThornArrangement"	"ThornStiffness"	"TendrilType"	"TendrilArrangement"	"TendrilAttach"	"PlantDetails"
"017538"	"wood-fern, intermediate"	"compound"	"at soil"	"stemmed"	"toothed"	"feather-like"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"spores"	"single cluster"	"stemless"	"brown"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"017637"	"fern, sensitive"	"compound"	"basal"	"stemmed"	"lobed"	"feather-like"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"spores"	"multiple clusters"	"stemless"	"brown"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"017675"	"fern, Christmas"	"compound"	"at soil"	"rootstock at soil"	"lobed"	"feather-like"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"no flowers"	"spores"	"multiple clusters"	"stemless"	"tax"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"lowest two leaflets point down; stalk scaly and grooved in front; fertile leaf rapidly tapering to tip; leaflets eared; sharp reduction in size between fertile and unfertile leaflets;"
"018041"	"bald-cypress"	"needle"	"opposite"	"stemless"	"smooth"	"net-like"			"stemless"				"cone-like"		"stemless"	"brown"	"flaking or scaling"	"furrows & ridges"	"brown"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"base of truck conspicuously buttressed; cone scales wrinkled; branchlets rough; needles yellow-green beneath; cone scales thick fused and wrinkled;"
"018070"	"sweetbay"	"simple"	"alternate"	"stemmed"	"smooth"	"feather-like"	"regular"	"solitary"	"stemmed"	"radial"	"6 or more"	"white"	"seed-like"	"solitary"	"stemmed"	"green to brown"		"rough"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"018071"	"cucumber-tree"	"simple"	"alternate"	"stemmed"	"smooth"	"feather-like"	"regular"		"stemmed"	"radial"	"6 or more"	"white to green"	"seed-like"	"multiple clusters"	"stemmed"	"green to red"	"flaking or scaling"	"furrows & ridges"	"brown"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"018086"	"tuliptree"	"simple"	"alternate"	"stemmed"	"lobed"	"feather-like"	"regular"	"solitary"	"stemmed"	"radial"	"6 or more"	"yellow / orange blush"	"key, winged"	"multiple clusters"	"stemmed"	"brown"	"firm"	"furrows & ridges"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"018117"	"pawpaw"	"simple"	"alternate"	"stemmed"	"smooth"	"feather-like"	"regular"	"solitary"	"stemmed"	"radial"	"6 or more"	"purplish maroon"	"berry-like"	"solitary"	"stemmed"	"green to yellow"	"firm"	"smooth or paper-like"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"buds naked, deep brown to reddish, hairy"
"018147"	"spicebush"	"simple"	"alternate"	"stemmed"	"smooth"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"		"yellow"	"berry-like"	"multiple clusters"	"stemmed"	"yellow to red"	"firm"	"smooth or paper-like"	"brown"	"no thorns"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"flower bloom before leaves are out"
"018158"	"sassafras"	"simple"	"alternate"	"stemmed"	"lobed"	"feather-like"	"regular"	"multiple clusters"	"stemmed"			"yellow-green"	"berry-like"	"multiple clusters"	"stemmed"	"dark blue on red cup"	"firm"	"furrows & ridges"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"flower appear before leaves;"
"018353"	"ginger, wild"	"simple"	"opposite"	"stemmed"	"smooth"	"palm-like"	"regular"	"solitary"	"stemmed"	"radial"	"3"	"red to pink"	"seed-like"	"single cluster"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"018448"	"anemone, wood"	"simple"	"whorled"	"stemmed"	"lobed & toothed"	"palm-like"	"regular"	"solitary"	"stemmed"	"radial"	"5 (4-9 tepals)"	"white to pink"	"seed-like"	"single cluster"	"stemless"	"purplish"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"seeds are hairy"
"018559"	"buttercup, kidney-leaved"	"multiple types"	"basal"	"multiple"	"toothed"	"palm-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"variable"	"yellow"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"basal leaves kidney-shaped; sepals drooping; seeds with minute beak; stems not hairy;"
"018576"	"crowfoot, cursed"	"compound"	"alternate"	"stemmed"	"lobed"	"palm-like"	"regular"	"solitary"	"stemmed"	"radial"	"5"	"pale yellow"	"seed-like"	"multiple clusters"	"stemless"	"tan to light green"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"stem smooth and hollow; basal leaves deeply lobed into 3 segments;"
"018583"	"buttercup, common"	"compound"	"alternate"	"multiple"	"lobed & toothed"	"palm-like"	"regular"		"stemmed"	"radial"	"variable"	"yellow"	"seed-like"		"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"stems and branches hairy; petals overlap; petioles glossy; middle leaf segment unstalked;"
"018594"	"buttercup, bulbous"	"simple"	"alternate"	"stemmed"	"lobed & toothed"	"palm-like"	"regular"	"solitary"	"stemmed"	"radial"	"5"	"yellow"	"seed-like"	"solitary"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"stems hairy and thickened at base; sepals bent down against flower stalk;"
"018603"	"celandine, lesser"	"simple"	"alternate & basal"	"stemmed"	"toothed"	"palm-like"	"regular"	"solitary"	"stemmed"	"radial"	"6 or more"	"yellow"	"seed-like"	"solitary"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"leaves heart-shaped to round; petals shiny; stamens many; achenes hairy;"
"018637"	"buttercup, bristly"	"compound"	"alternate"	"stemmed"	"lobed & toothed"	"palm-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"variable"	"yellow"	"seed-like"	"multiple clusters"	"stemless"	"yellow"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"leaf central stem hairy; back of achene straight; leaflets cleft;"
"018641"	"crowfoot, hooked"	"simple"	"alternate"	"stemmed"	"lobed & toothed"	"palm-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"variable"	"yellow"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"achenes with hooked beak; petals shorter or equal to sepals; stem hairy;"
"018642"	"buttercup, creeping"	"simple"	"alternate"	"stemmed"	"lobed & toothed"	"palm-like"	"regular"	"solitary"	"stemmed"	"radial"	"variable"	"yellow"	"seed-like"	"solitary"	"stemmed"	"brown"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"seed with short beak; stem hairy, elongate and trailing; blades often mottled; base of stem not bulbous; sepals spreading; petals longer than sepals;"
"018669"	"meadow-rue, early"	"compound"	"alternate & basal"	"stemmed"	"lobed"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"variable"	"greenish white"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"flowers droop;"
"018678"	"meadow-rue, tall"	"compound"	"opposite"	"stemmed"	"lobed"	"palm-like"		"multiple clusters"	"stemmed"	"radial"	"6 or more"	"whitish"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"achene veined or ribbed and narrowed to a stipulate base; leaf underside soft hairy;"
"018683"	"rue-anemone"	"compound"	"opposite"	"stemmed"	"lobed"	"palm-like"	"regular"	"single cluster"	"stemmed"	"radial"	"variable"	"white to pink to purple"		"single cluster"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"018716"	"bower, virgin's"	"compound"	"opposite"	"stemmed"	"toothed"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"4"	"white"	"seed-like"	"multiple clusters"	"stemmed"	"brown to greenish brown"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"prehensile leaf rachis"		"leaf tip"	
"018722"	"doll's-eyes"	"compound"	"opposite"	"stemmed"	"lobed & toothed"	"feather-like"	"regular"	"single cluster"	"stemmed"			"white"	"berry-like"	"single cluster"	"stemmed"	"white"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"fruit on thick red stalk with a black eye"
"018749"	"columbine, European"	"multiple types"	"basal"	"stemmed"	"lobed"	"palm-like"	"regular"	"solitary"	"stemmed"	"radial"	"5"	"blue, pink, whi"	"seed-like"	"solitary"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"018793"	"love-in-a-mist"	"compound"	"alternate"	"stemmed"	"smooth"	"feather-like"	"regular"	"multiple clusters"	"stemless"	"radial"	"0 (petaloid sepals)"	"white to blue"	"seed-like"	"multiple clusters"	"stemless"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"018816"	"Oregon-grape"	"simple"	"opposite"	"stemless"	"toothed"	"feather-like"		"multiple clusters"	"stemmed"				"berry-like"	"multiple clusters"	"stemmed"	"bluish"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"018835"	"barberry, Japanese"	"simple"	"whorled"	"stemless"	"smooth"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"	"6 or more"	"yellow"	"berry-like"	"multiple clusters"	"stemmed"	"scarlet"				"short"			"no tendrils"	"no tendrils"	"no tendrils"	
"018850"	"mayapple"	"simple"	"opposite"	"stemmed"	"lobed & toothed"	"palm-like"	"regular"	"solitary"	"stemmed"	"radial"	"6 or more"	"white"	"berry-like"	"solitary"	"stemmed"	"white"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"018943"	"corn, squirrel"	"compound"	"basal"	"stemmed"	"lobed"	"palm-like"	"split"	"single cluster"	"stemmed"	"bilateral"	"2"	"white"	"seed-like"	"single cluster"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"spurs of petal not spread apart"
"018945"	"Dutchman's-breeches"	"compound"	"basal"	"stemmed"	"lobed & toothed"	"feather-like"	"split"	"multiple clusters"	"stemmed"	"bilateral"	"2"	"white"	"seed-like"	"multiple clusters"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"rhizome has small, white or pink tear-shaped bulblets"
"018990"	"bloodroot"	"simple"	"basal"	"stemmed"	"lobed"	"palm-like"	"regular"	"solitary"	"stemmed"	"radial"	"6 or more"	"white (to blue or lavender)"	"seed-like"	"solitary"	"stemmed"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"roots and stem with acrid red-orange sap;"
"019020"	"sycamore"	"simple"	"alternate"	"stemmed"	"lobed & toothed"	"palm-like"	"ball-like"	"multiple clusters"	"stemmed"	"radial"		"reddish yellow to greenish red"	"seed-like"	"multiple clusters"	"stemmed"	"tan"	"flaking or scaling"	"plates or scales"	"multi-colored"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"019027"	"sweetgum"	"simple"	"alternate"	"stemmed"	"lobed & toothed"	"palm-like"	"ball-like"	"multiple clusters"	"stemmed"		"0"	"no petals"	"nut-like"	"multiple clusters"	"stemmed"	"brown"		"furrows & ridges"	"brown"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"leaves hairless; pith continuous;"
"019033"	"witch-hazel"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"	"regular"	"solitary"	"stemmed"	"radial"	"4"	"yellow"	"seed-like"	"multiple clusters"	"stemless"	"green to brown"	"firm"	"smooth or paper-like"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"019049"	"elm, American"	"simple"	"alternate"	"stemmed"	"double toothed"	"feather-like"	"petal-less"	"multiple clusters"	"stemmed"			"reddish"	"key, winged"	"multiple clusters"	"stemmed"	"green to yellowish"	"flaking or scaling"	"furrows & ridges"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"019050"	"elm, slippery"	"simple"	"alternate"	"stemmed"	"double toothed"	"feather-like"	"petal-less"	"multiple clusters"	"stemmed"			"dark reddish"	"key, winged"	"multiple clusters"	"stemmed"	"yellowiish"	"firm"	"plates or scales"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"red hairs on early buds; undersides of leaves rough;"
"019066"	"mulberry, white"	"simple"	"alternate"	"stemmed"	"lobed & toothed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemmed"	"radial"	"catkin"	"yellowish"	"berry-like"	"multiple clusters"	"stemmed"	"red turning black"	"flaking or scaling"	"plates or scales"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"leaves white spreading hairs beneath;"
"019102"	"osage-orange"	"simple"	"alternate"	"stemmed"	"smooth"	"feather-like"		"multiple clusters"	"stemmed"	"radial"		"white"	"seed-like"	"multiple clusters"	"stemmed"	"green"		"furrows & ridges"	"brown"	"long"		"stiff"	"no tendrils"	"no tendrils"	"no tendrils"	
"019121"	"nettle, false"	"simple"	"opposite"	"stemmed"	"toothed"	"palm-like"		"multiple clusters"	"stemless"	"radial"	"4"	"green"	"seed-like"	"multiple clusters"	"stemless"		"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"019127"	"wood-nettle"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"	"ball-like"	"multiple clusters"	"stemmed"	"radial"	"4 sepals female; 5 sepals male"	"white to green"	"seed-like"	"multiple clusters"	"stemmed"	"brown"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"stem with stinging hairs;"
"019130"	"clearweed, common"	"simple"	"opposite"	"stemmed"	"toothed"	"feather-like"	"regular"	"multiple clusters"	"stemmed"	"radial"		"green"	"seed-like"	"multiple clusters"	"stemmed"	"green"	"no bark"	"no bark"	"no bark"	"no thorns"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	
"019227"	"hickory, bitternut"	"compound"	"alternate"	"stemmed"	"toothed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemmed"				"nut-like"	"multiple clusters"	"stemmed"	"yellow"	"firm"	"furrows & ridges"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"019242"	"hickory, shagbark"	"compound"	"alternate"	"stemmed"	"toothed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemless"				"nut-like"	"multiple clusters"	"stemless"		"flaking or scaling"	"plates or scales"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"019254"	"walnut, black"	"compound"	"alternate"	"stemmed"	"toothed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemmed"				"nut-like"	"multiple clusters"	"stemless"	"green to black"	"firm"	"furrows & ridges"	"brown"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"leaves spicy-scented when crushed; twigs hairless; pith chambered and light brown; buds white woolly; no terminal leaflet;"
"019281"	"oak, pin"	"simple"	"alternate"	"stemmed"	"lobed & bristles"	"feather-like"	"catkin-like"	"multiple clusters"		"radial"	"6 or more"		"nut-like"	"variable - single & multiple"	"stemmed"	"brown"	"firm"	"furrows & ridges"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"cup of acorn shallow, saucer-shaped, cover 1/3 of nut; auxillary tufts of hair conspicuous; leaf sinus more than half way to midvein; lobes of leaves bristle-tipped; twigs pin-like;"
"019287"	"oak, bur"	"simple"	"alternate"	"stemmed"	"lobed & toothed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemmed"	"radial"		"yellowish"	"nut-like"	"single cluster"	"stemmed"	"light brown"	"firm"	"furrows & ridges"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"leaf finely hairy beneath; twigs with somewhat corky wings; cup almost completely covering nut; cup with fringe along rim;"
"019288"	"oak, scarlet"	"simple"	"alternate"	"stemmed"	"lobed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemless"	"radial"			"nut-like"	"single or pairs"	"stemmed"	"brown"	"firm"	"furrows & ridges"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"leaf sinus al least half way to midvein; leaf tip with bristle; tufts of hair in leaf vein angles; terminal bud slightly hairy; cup covers 2/3 of nut; cup scales slightly hairy; acorn ripens in two years;"
"019290"	"oak, white"	"simple"	"alternate"	"stemmed"	"lobed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemless"	"radial"			"nut-like"	"single or pairs"	"stemmed"	"light brown"	"flaking or scaling"	"plates or scales"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"leaf underside whitish; leaf lobes cut about half way to midvein; cup scales warty and finely hairy; acorns mature in two years; cup depth shallow;"
"019300"	"oak, swamp white"	"simple"	"alternate"	"stemless"	"lobed"	"feather-like"	"catkin-like"						"nut-like"	"multiple clusters"	"stemless"	"glossy light brown"	"firm"	"plates or scales"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no thonrs"	"no tendrils"	"no tendrils"	"leaf sinus shallow; leaf dark gree above, pale green often silvery with white hairs beneath; young leaves opening bronze; acorns ripen in one year; cup shallow with woolly scales with fringes of mossy hairs along rim;"
"019379"	"oak, rock chestnut"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemless"	"radial"			"nut-like"	"multiple clusters"	"stemmed"	"glossy brown"	"firm"	"furrows & ridges"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no thonrs"	"no tendrils"	"no tendrils"	"cup thin and warty;"
"019408"	"oak, northern red"	"simple"	"alternate"	"stemmed"	"lobed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemmed"	"radial"	"6 or more"		"nut-like"	"single or pairs"	"variable"	"pale brown"	"firm"	"plates or scales"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no thonrs"	"no tendrils"	"no tendrils"	"sinuses extending half way or less to vidvein; lobes somewhat ascending; blades dull above, smooth beneath; lobes bristle tipped;"
"019447"	"oak, black"	"simple"	"alternate"	"stemmed"	"lobed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemless"				"nut-like"	"single or pairs"	"stemmed"	"light brown"	"firm"	"furrows & ridges"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no thonrs"	"no tendrils"	"no tendrils"	"cup deep with thick, shaggy, rusty-woolly scales; acorn ripens in two years; inner bark yellow to orange;"
"019462"	"beech, American"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"			"stemmed"				"seed-like"		"stemmed"	"brown"	"firm"	"rough"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"019480"	"birch, river"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"	"catkin-like"		"stemmed"	"radial"		"light tan"	"cone-like"		"stemmed"		"peeling"	"smooth or paper-like"	"brown"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"leaf underside whiteish to velvety; leaf stalk and bud hairy"
"019487"	"birch, black"	"simple"	"opposite"	"stemmed"	"double toothed"	"feather-like"	"catkin-like"		"stemmed"				"cone-like"		"stemmed"		"peeling"	"smooth or paper-like"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"twigs with wintergreen odor when crushed; buds and twigs hairless"
"019489"	"birch, paper"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemmed"			"yellow"	"cone-like"	"multiple clusters"	"stemmed"	"brown"	"peeling"	"smooth or paper-like"	"white"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"019495"	"birch, European weeping"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"	"catkin-like"		"stemmed"	"radial"			"cone-like"		"stemmed"		"peeling"	"smooth or paper-like"	"white"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"twigs long, drooping and hairless; leaf bases not toothed"
"019497"	"birch, grey"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemmed"			"green (male); yellow (female)"	"cone-like"	"multiple clusters"	"stemmed"	"brown"	"firm"	"smooth or paper-like"	"white"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	"individual seeds have two translucent wings"
"019504"	"hornbeam, American"	"simple"	"alternate"	"stemmed"	"toothed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemless"			"green (male); red (female)"	"nut-like"	"multiple clusters"	"stemmed"	"green"	"firm"	"smooth or paper-like"	"gray"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
"019511"	"hop-hornbeam"	"simple"	"alternate"	"stemmed"	"double toothed"	"feather-like"	"catkin-like"	"multiple clusters"	"stemless"	"radial"		"green"	"nut-like"	"multiple clusters"	"stemless"	"yellow to brown"		"plates or scales"	"brown"	"no thorns"	"no thorns"	"no thorns"	"no tendrils"	"no tendrils"	"no tendrils"	
