"TSN"	"Common Name"	"Native?"	"Invasive?"	"Typical Habitat"	"Typical flowering time"	"Typical fruiting time"	"Growth habit"	"Annual, Biennial, Perennial"	"Toxicity"	"Medical Uses"	"Culinary Uses"	"Ornamental Uses"	"Other Uses"	"Status-Local"	"Status-State"	"Status-US"	"Status-Global"	"ECR"	"HHCP"	"LEB"	"UWB"	"WSP"	"AR"
"018070"	"sweetbay"	"no"		"stream & pond edges, coastal swamps"	"May-Jun"	"early autumn"	"shrub or tree"	"perennial"	"no data"	"leaf tea to warm blood, colds; bark tea for malaria, typhoid, indigestion, rheumatism, worms, toothaches, malaria, epilepsy"	"no data"	"grown for long lasting flowers and fragrance"	"no data"						"yes"				
"018071"	"cucumber-tree"	"yes"		"moist forest"	"May-Jun"	"fall"	"tree"	"perennial"	"no data"	"bark tea for malaria, typhoid fever, indigestion, rheumatism, worms, toothaches; fruit tea for stomach ailments"	"no data"	"grown for flower display"	"no data"					"yes"	"yes"				"yes"
"018086"	"tuliptree"	"yes"		"moist forest"	"May-Jun"		"tree"	"perennial"	"no data"	"bark tea for indgestion; dysentry, rheumatism, worms, fevers, coughs; leaf poultice for heataches"	"no data"	"no data"	"no dat"					"yes"	"yes"				"yes"
"018117"	"pawpaw"	"yes"	"no"	"ravines, flood plains, stream edges"	"early to late spring"		"tree"	"perennial"	"seeds are toxic; some react to touching skin of fruit"	"fruit uses as laxative, diuretic, emetic; leaves treat insects and lice"	"fruit pulp is edible"	"no data"	"leaves have insecticidal properties"						"yes"				
"018147"	"spicebush"	"yes"		"wooded bottomland"	"Jun-Sep"		"shrub"	"perennial"	"no data"	"berry tea for coughs, cramps, croup, measles; bark tea for sweating, colds, rheumatism, anemia, worms; twig tea for colds,"	"berries and twig in tea; dried berries a spice"	"no data"	"no data"	"common"	"common"	"common"	"common"	"yes"	"yes"				"yes"
"018158"	"sassafras"	"yes"		"bottomlands, abandoned fields, dry ridges, open woodlands"	"Apr-May"		"tree"	"perennial"	"oil from tree a reported carcinogen"	"root & bark tea for stomach ache, gout, arthritis, hypertension, rheumatism, kidney ailments; twig pith poultice for eye;"	"leaves used in soup stock"	"no data"	"no data"					"yes"	"yes"				"yes"
"018353"	"ginger, wild"	"yes"	"no"	"rich woods"	"Apr-May"		"herb"	"perennial"	"no data"	"root tea aids, coughs, colds, nerves, cramps, gas, fever"	"ginger substitute"	"no data"	"no data"					"yes"	"no"				
"018448"	"anemone, wood"	"yes"		"moist woods, swamp forest"	"Apr-Jun"	"May"	"herb"	"perennial"	"no data"	"none known"	"no data"	"no data"	"no data"						"yes"	"yes"			
"018559"	"buttercup, kidney-leaved"	"yes"		"woods, damp thickets"	"Apr-Aug"		"herb"	"annual or perennial"	"may cause intense pain and burning of mouth, mucous membranes, skin blister"	"no data"	"no data"	"no data"	"no data"					"M G"	"yes"				
"018576"	"crowfoot, cursed"	"yes"		"wet places"	"May"	"May-Oct"	"herb"		"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"018583"	"buttercup, common"	"no"		"fields, meadows"	"May-Sep"		"herb"	"annual or perennial"	"may cause intense pain and burning of mouth, mucous membranes, skin blister"	"fresh leaves for rheumantism, neuralgia; root poultice for boils, abscesses"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"018594"	"buttercup, bulbous"	"no"		"roadside, fields, meadows, lawns"	"Apr-Jul"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"										"yes"
"018603"	"celandine, lesser"	"no"	"YES"	"damp shady areas"	"Apr-Jun"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"				"yes"	"yes"
"018637"	"buttercup, bristly"	"yes"		"wet ground"	"Jul-Sep"		"herb"	"annual or perennial"	"may cause intense pain and burning of mouth and mucous membranes"	"no data"	"no data"	"no data"	"no data"					"M G"					
"018641"	"crowfoot, hooked"	"yes"		"woods"	"Apr-Jul"		"herb"		"no data"	"no data"	"no data"	"no data"	"no data"					"M G"	"yes"				
"018642"	"buttercup, creeping"	"no"		"ditches, low ground"	"May-Jul"		"vine"	"perennial"	"may cause intense pain and burning of mouth and mucous membranes"	"no data"	"no data"	"no data"	"no data"						"yes"				
"018669"	"meadow-rue, early"	"yes"		"woods, thickets"	"Apr-May"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"M G"					
"018678"	"meadow-rue, tall"	"yes"		"rich woods, stream banks, wet meadows"	"Jun-Aug"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"018683"	"rue-anemone"	"yes"		"dry or moist open woods"	"Apr-May"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"										"yes"
"018716"	"bower, virgin's"	"yes"		"moist thickets"	"summer and fall"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"018722"	"doll's-eyes"	"yes"	"no"	"moist woods"	"May-Jun"	"Jul-Oct"	"herb"		"all parts cause sever gastrointestinal inflammatio"	"tea from root aid in child birth, headaches, cough"	"no safe for eating"	"no data"	"no data"		"common"				"no"	"yes"			
"018749"	"columbine, European"	"no"		"roadsides, fields"	"Apr-Jul"		"herb"	"perennial"	"no data"	"none known"	"no data"	"no data"	"no data"						"yes"				
"018793"	"love-in-a-mist"	"no"		"garden escape"	"Jul"		"herb"	"annual"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"018816"	"Oregon-grape"	"no"					"shrub"		"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"018835"	"barberry, Japanese"	"no"		"thickets, pastures"	"May-Jun"		"shrub"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				
"018850"	"mayapple"	"yes"		"woodlands, openings"	"Apr-Jun"		"herb"	"perennial"	"roots may cause allergenic reaction especially in eyes and skin"	"roots for liver cleaning, worms, jaundice, constipation; root resin for veneral warts"	"berry is edible in jellies"	"no data"	"no data"	"common"	"common"	"common"	"common"	"yes"	"yes"				"yes"
"018943"	"corn, squirrel"	"yes"	"no"	"rich woods"	"Apr-May"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"	"yes"			
"018945"	"Dutchman's-breeches"	"yes"	"no"	"Apr-Jun"			"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"018990"	"bloodroot"	"yes"		"Apr-May"			"herb"	"perennial"	"toxic if ingested"	"roots for coughs, rheumatism, lung ailments, fevers, warts; has shown anti-cancer, antiseptic and plaque inhibiting effects"	"no data"	"no data"	"no data"					"yes"					
"019020"	"sycamore"	"yes"		"spring"	"autumn into winter"		"tree"	"perennial"	"no data"	"inner bark tea for dysentry, colds, lung ailments, measles, coughs, laxative; bark for rheumatic fever, scurvy,"	"no data"	"planted for shade in landscapes"	"no data"	"common"	"common"	"common"	"common"	"yes"	"yes"			"yes"	
"019027"	"sweetgum"	"yes"		"moist wet woods"	"Apr-May"		"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"019033"	"witch-hazel"	"yes"	"no"	"woodland understory; shady bottomland; swamps, along waterways"	"fall"		"shrub"	"perennial"	"no data"	"leaf tea for colds, sore throat; twig tea for lameness, dysentry, cholera, asthma; bark tea for lung ailments"	"no data"	"no data"	"no data"	"common"				"yes"	"yes"				"yes"
"019049"	"elm, American"	"yes"	"no"	"deciduous woodlands, bottomlands, along rivers, fields"	"early spring"	"early spring"	"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"M G"	"yes"				"yes"
"019050"	"elm, slippery"	"yes"	"no"	"moist low slopes, flood plains, dry uplands"	"Apr"	"May"	"tree"	"perennial"	"no data"	"inner bark for coughs, sore throat, upset stomach, pluerisy; inner bark tea for wounds, ulcers, burns, scalds"	"inner bark considered edible"	"no data"	"no data"					"M"					"yes"
"019066"	"mulberry, white"	"no"					"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					"yes"
"019102"	"osage-orange"	"no"		"rich bottomland forests, sandy terrain"	"May-Jun"		"tree"	"perennial"	"sap may cause dermatitis"	"root tea for eye wash"	"no data"	"grown for unusual fruit"	"no data"						"yes"				
"019121"	"nettle, false"	"yes"		"shady places"	"Jul-Oct"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"019127"	"wood-nettle"	"yes"		"low woods, stream banks"	"Jul-Sep"	"Jul-Sep"	"herb"	"perennial"	"dermal reaction to stinging hairs"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				
"019130"	"clearweed, common"	"yes"		"moist shady places"	"Jul-Oct"		"herb"	"annual"	"no data"	"no data"	"no data"	"no data"	"no data"					"G M"	"yes"				
"019227"	"hickory, bitternut"	"yes"	"no"	"woods"	"May"	"autumn"	"tree"	"perennial"	"seed in nutlet is bitter and inedible"	"no data"	"no data"	"no data"	"no data"						"yes"				"yes"
"019242"	"hickory, shagbark"	"yes"	"no"	"mature forest, wet forest"	"May"	"late summer-autumn"	"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				"yes"
"019254"	"walnut, black"	"yes"		"moist forest"	"Apr-Jun"	"Oct-Nov"	"tree"	"perennial"	"no data"	"no data"	"nuts edible"	"no data"	"cabinetry, gun stock; bark used in tanning"					"yes"					
"019281"	"oak, pin"	"yes"	"no"	"moist soils, wet woods, stream banks, swamps"			"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				
"019287"	"oak, bur"	"yes"		"dry slopes, clay soils"	"May"		"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					"yes"
"019288"	"oak, scarlet"	"yes"		"dry upland soil"	"Apr"		"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"										"yes"
"019290"	"oak, white"	"yes"		"fertile vallys, dry mountains"	"Apr"		"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"used to make barrels and in ship building"										"yes"
"019300"	"oak, swamp white"	"yes"		"flood plains, poorly drained areas"			"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"										"yes"
"019379"	"oak, rock chestnut"	"yes"		"dry or moist upland or rocky woods"			"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"		"yes"			
"019408"	"oak, northern red"	"yes"		"moist woods, slopes and valleys"			"tree"	"perennial"	"tannic acids potentially toxic"	"inner bark tea for diarrhea; dysentry; bleeding, mucus discharge, piles; bark wash for skin erruptions, poison ivy, burns;"	"no data"	"used frequently as street shade tree"	"no data"						"yes"				"yes"
"019447"	"oak, black"	"yes"		"dry upland soils"			"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"										"yes"
"019462"	"beech, American"	"yes"	"no"	"moist forests & slopes; ravines; moist hammocks"	"early spring"	"Jun-Aug"	"tree"	"perennial"	"no data"	"nuts used as worm repellant; bark tea for lung ailments; leaf tea for poison ivy, frost bite, burns"	"no data"	"no data"	"no data"	"common"	"common"	"common"	"common"	"yes"	"yes"				
"019480"	"birch, river"	"yes"	"no"	"stream banks"	"Apr-May"	"Jun-Sep"	"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"no"				"yes"
"019487"	"birch, black"	"yes"	"no"	"mature forests"	"Apr-May"	"Aug-Oct"	"tree"	"perennial"	"no data"	"sap yields oil of wintergreen"	"no data"	"no data"	"some furniture uses"					"yes"	"no"				
"019489"	"birch, paper"	"no"	"no"	"young forests"	"Apr-May"	"late autumn"	"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"bark used by First Nations to build canoes"					"yes"	"no"				"yes"
"019495"	"birch, European weeping"	"no"	"no"				"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"										"yes"
"019497"	"birch, grey"	"yes"	"no"		"early spring"	"early autum"	"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"		"potentiall threatene"				"yes"				
"019504"	"hornbeam, American"	"yes"	"no"	"flood plain, swamp, fen"	"Apr"	"late summer-autumn"	"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				
"019511"	"hop-hornbeam"	"yes"		"upland forest understory; limestone woods, dry gravelly slopes"	"early spring"	"late summer"	"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"019523"	"pokeweed"	"yes"		"damp thickets, clearings, roadsides"	"Jul-Sep"		"herb"	"perennial"	"all parts poisonous; can cause dermatitis"	"leaf poultice for bleeding, pimples; berry tea for rheumatism, dysentry; root poultice for rheumantism, neuralgia, pain,"	"pink emerging shoots cooked as greens"	"no data"	"no data"					"yes"	"yes"				"yes"
"019954"	"chickweed, common mouse-ear"	"no"		"lawns, roadsides"	"Apr-Oct"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"	"common"	"common"	"common"	"common"	"yes"	"yes"				
"019955"	"chickweed, clammy"	"no"		"meadows"	"May"		"herb"	"annual"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"020169"	"chickweed, common"	"no"		"roadsides, waste places"	"Mar-Sep"		"herb"	"annual or biennial"	"no data"	"tea for coughs, expectorant; externally for skin disease, itching, anti-inflammatory; curb obesity"	"no data"	"no data"	"no data"						"yes"			"yes"	"yes"
"020181"	"stitchwort, common"	"no"		"moist grassy places, damp woods"	"May-Jun"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					"yes"
"020276"	"pink, deptford"	"no"	"no"	"fields, roadsides"	"May-Jun"		"herb"	"annual or bienniel"	"no data"	"no data"	"no data"	"no data"	"no data"	"uncommon"				"yes"					
"020382"	"spring-beauty"	"yes."	"no"	"moist woods"	"Mar-May"		"herb"		"no data"	"no data"	"no data"	"no data"	"no data"	"common"	"common"	"common"	"common"	"yes"	"yes"				
"020422"	"purslane, common"	"no"		"cultivated and waste ground"	"Jun-Nov"		"herb"	"annua"	"no data"	"leaf poultice for burns, ear aches; leaf tea for headaches, stomach aches, stings, inflammation;"	"leaves for salads, pot herbs, high iron content;"	"no data"	"no data"						"yes"				
"020592"	"lamb's-quarters"	"no"		"roadsides, disturbed sites, cultivated land"	"Jun-Oct"		"herb"	"annual"	"no data"	"leaves for stomach ache, scurvy prevention; tea for diarrhea"	"no data"	"no data"	"no data"						"yes"				
"020863"	"tear-thumb, arrow-leaved"	"yes"		"marshes, wet placess"	"Jun-Oct"		"herb"	"annual"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"020876"	"knotweed, common"	"no"		"roadsides, gardens, waste areas"	"Jun-Nov"		"herb"	"annual"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"			"yes"	
"020889"	"knotweed, Japanese"	"no"	"YES"	"roadsides, waste places"	"Aug-Sep"		"herb"	"perennial"	"no data"	"no data"	"young shoot cooked like asparagus"	"no data"	"no data"	"common"	"common"	"common"	"common"	"yes"	"yes"			"yes"	
"020934"	"sorrel, Eurasian green"	"no"		"thin fields, roadsides, acid soils"	"Jun-Oct"		"herb"	"perennial"	"may be poisonous in large doses due to high oxalic acid and tannin content"	"leaf tea for fevers, inflammation, scurvy; fresh leaves for cooling; diuretic; root tea for diarrhea excess menstrual bleedin"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"020937"	"dock, curly"	"no"		"fields, waste ground"	"Jun-Sep"		"herb"	"perennial"	"large doses may cause gastric disturbance, nausea, diarrhea"	"root tea for blood purifying; skin disease; chronic enlarged lymph glands, skin sores, rheumantism, sore throat, diarrhea,"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"020939"	"dock, bitter"	"no"		"fields, roadsides, waste ground"	"Jun-Sep"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"021420"	"pineweed"	"yes"		"meadows, sandy or rocky sunny areas"	"Jul-Oct"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"021421"	"St. John's-wort, dwarf"	"yes"		"low wet ground"	"Jul-Sep"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"021422"	"St. John's wort, spotted"	"yes"		"open woods, moist or dry woods, fields"	"Jul-Aug"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"021454"	"St. John's-wort, common"	"no"		"roadsides, fields, low wet places"	"Jun-Sep"		"herb"	"perennial"	"may cause skin burns on photosenstive people"	"flower tea for external ulcers, wounds, sores, cuts, bruises, internally for bladder ailments, depression, dysentry; diarrhea"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"021536"	"basswood"	"yes"		"moist forests, lowlands"	"spring"	"summer"	"tree"	"perennial"	"frequent comsumption of flower may cause heart damage"	"inner bark for lung ailments, heartburn, weak stomach; bark poultice for boils; leaf,flower and bud tea for nervous headaches"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"021674"	"velvet-leaf"	"no"		"swamps, meadows, waste ground"	"Jul-Oct"		"herb"	"annual"		"dried leaves-fever, dysentery; poltice-ulcers;"									"yes"				
"021833"	"mallow, vervain"	"no"		"roadsides, woods edge"	"Jun-Sep"		"herb"	"biennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"022050"	"violet, sweet white"	"yes"		"moist woods"	"Apr-May"		"herb"		"no data"	"no data"	"no data"	"no data"	"no data"						"yes"	"yes"			
"022053"	"violet, Canada"	"yes"		"moist woods"	"Apr-Jul"		"herb"		"no data"	"no data"	"no data"	"no data"	"no data"					"M"					
"022086"	"violet, halberd-leaved"	"yes"		"rich wood"	"Apr-May"		"herb"		"no data"	"no data"	"no data"	"no data"	"no data"										"yes"
"022144"	"violet, common yellow"	"yes"		"rich woods"	"Apr-Jun"		"herb"		"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"022158"	"violet, long-spurred"	"yes"		"rich wood"	"Apr-Jun"		"herb"		"no data"	"no data"	"no data"	"no data"	"no data"					"M"					
"022162"	"violet, arrow-leaved"	"yes"		"open woods, prairies"	"Apr-Jun"		"herb"		"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"022169"	"violet, common"	"yes"		"woods, meadows"	"Mar-Jun"		"herb"		"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				"yes"
"022359"	"muskmelon"	"yes"				"late summer"	"herb"	"annual"	"no data"	"no data"	"cultivated for food"	"no data"	"no data"						"yes"				
"022378"	"cucumber, wild"	"yes"		"moist woods, stream banks, thickets"	"Jun-Oct"	"Sep-Oct"	"herb"	"annual"	"no data"	"root tea used for stomach troubles, chills, fever"	"Cucurbitacea has some anti-tumor properties"	"no data"	"no data"						"yes"			"yes"	
"022445"	"cottonwood"	"yes"		"stream banks, flood plains, moist lowlands"	"early spring"	"late spring"	"tree"	"perennial"	"no data"	"inner bark tea for scurvy; female tonic; bark contain salicin, an aspirin-like compound"	"no data"	"no data"	"no data"					"yes"	"yes"			"yes"	
"022463"	"aspen, bigtooth"	"yes"		"sandy soils of strem valley and slopes"	"early spring"	"late spring"	"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"022484"	"willow, black"	"yes"		"streamside; flood plains, lake shores"	"early spring"		"tree"	"perennial"	"no data"	"bark for diarrhea, pain, arthritis, rheumatism; bark poultice for corns, cuts, cancer, ulcers, poison ivy rash;"	"no data"	"no data"	"no data"						"yes"			"yes"	"yes"
"022524"	"willow, pussy"	"yes"		"stream banks, lake shores, wet meadows"	"late winter"		"shrub"	"perennial"	"no data"	"bark for diarrhea, pain, arthritis, rheumatism; bark poultice for corns, cuts, cancer, ulcers, poison ivy rash;"	"no data"	"no data"	"no data"						"yes"				
"022528"	"willow, heart-leaved"	"yes"		"wooded swamps"	"Apr-May"	"Jul"	"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"022529"	"willow, sandbar"	"yes"		"sandbars, mudbars, alluvial soil"	"May-Jul"		"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"										"yes"
"022579"	"willow, Schrank's"	"no"			"May-Jun"		"tree"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"022741"	"water-cress, common"	"no"		"wet meadows, fields, roadsides"	"Apr-Aug"	"May-Aug"	"herb"		"no data"	"leaves used to purify blood; tea for coughs, scurvy, diuretic"	"no data"	"no data"	"no data"					"yes"	"yes"				
"022766"	"shepherd's-purse"	"no"		"waste ground"	"Apr-Sep"		"herb"	"annual"	"may cause blistering"	"leaf tea used to stop bleeding; diuretic"	"no data"	"no data"	"no data"						"yes"			"yes"	
"022772"	"bittercress, Pennsylvania"	"yes"		"wet ground, wet meadow, swamp"	"Apr-Jun"		"herb"	"annual to biennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"022787"	"toothwort, cut-leaved"	"yes"		"moist rich woods, bottomlands"	"Apr-Jun"		"herb"		"no data"	"no data"	"no data"	"no data"	"no data"	"common"					"yes"	"yes"			"yes"
"022792"	"toothwort, two-leaved"	"yes"		"rich woods"	"Apr-Jun"		"herb"	"annual to perennial"	"no data"	"roots for tooth aches and colds; tea for sore throats, horseness"	"no data"	"no data"	"no data"						"yes"				
"022793"	"bittercress, purple"	"yes"		"wet woods, springs"	"Mar-May"		"herb"		"no data"	"no data"	"no data"	"no data"	"no data"						"yes"	"yes"			
"022797"	"bittercress, hoary"	"no"		"open fields, roadsides"	"Apr-May"		"herb"	"annual"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				
"022954"	"pepper-grass, field"	"no"		"roadsides, waste places"	"May-Jun"	"Jul-Nov"	"herb"	"annual or biennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				
"023059"	"mustard, Indian"	"no"			"Jun-Oct"		"herb"	"annual"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"023105"	"cress, swine"	"no"					"herb"		"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"023138"	"rocket, dame's"	"no"		"open woods, moist or wet places"	"May-Jun"		"herb"	"biennial or perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"023236"	"alyssum, sweet"	"no"		"waste ground"	"Aug-Sep"		"herb"	"annual to perennial"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"023238"	"honesty"	"no"		"disturbed places"	"May-Jun"		"herb"	"annual"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"023312"	"mustard, tumble"	"no"		"waste land, roadsides, railways"	"Jun-Sep"		"herb"	"annual"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"023422"	"penny-cress, field"	"no"		"fields, roadsides"	"Apr-Aug"		"herb"	"annual"	"no data"	"no data"	"no data"	"no data"	"no data"						"yes"				
"023573"	"blueberry, highbush"	"yes"		"swamps, pastures, woods"	"Apr-Jul"		"shrub"	"perennial"	"no data"	"no data"	"berry edible"	"no data"	"no data"						"yes"				
"023700"	"rhododendron"	"no"	"no"				"shrub"	"perennial"	"leaves potentially toxic, ingestion may cause convulsions and coma"	"no data"	"no data"	"use in landscapes for flower color"	"no data"					"yes"	"yes"				"yes"
"023778"	"pipe, Indian"	"yes"		"rich woods"	"Jun-Aug"		"herb"		"no data"	"no data"	"no data"	"no data"	"no data"					"yes"					
"023984"	"loosestrife, fringed"	"yes"		"swamps, wet thickets"	"Jun-Aug"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				"yes"
"023985"	"swamp-candles"	"yes"		"swamps, wet places"	"Jun-Jul"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"M"					
"023993"	"moneywort"	"no"		"damp ground"	"May-Aug"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				
"024043"	"pimpernel, scarlet"	"no"		"sandy soil, roadsides"	"Jun-Aug"		"herb"	"annual"	"no data"	"none known"	"no data"	"no data"	"no data"					"yes"	"yes"				
"024407"	"bishop's-cap"	"yes"		"rich woods"	"Apr-May"		"herb"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"M"	"yes"				
"024421"	"mock-orange, European"	"no"			"Jun-Jul"		"shrub"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"yes"	"yes"				
"024462"	"gooseberry, prickly"	"yes"		"rocky woods"	"May-Jun"		"shrub"	"perennial"	"no data"	"no data"	"no data"	"no data"	"no data"					"M"					
